唯一識別碼,資料類型,語系,資料名稱,文字描述,聯絡電話,分機,縣市名稱,行政區(鄉鎮區)名稱,街道名稱,資料提供單位機關代碼,資料提供單位,資料更新日期時間,search_count
Attraction_379000000A_002659,Attraction,Zh_tw,綠光平台,民眾可搭乘貓空纜車至指南宮站，出站即可到「綠光平台」眺望貓空山區美景。平台係利用太陽能板儲存電力發光，入夜後燈光絢麗，不僅是纜車乘客觀賞景點，也是環保綠能教育空間。,(02)27593001,,臺北市,文山區,,379000000A,臺北市政府,2024/8/19 下午 05:37:10,239000
Attraction_379000000A_000108,Attraction,Zh_tw,國立中正紀念堂,中正紀念堂是為了紀念中華民國第一任總統蔣介石，他於1975年逝世，次年行政院就破土開建中正紀念堂，設計師是設計圓山大飯店的楊卓成。紀念堂原址是陸軍總部，當時是臺北市區內最大的軍區，據說從大陸運過來的黃金，就曾經存放在這個地方。紀念堂採用的藍白兩色，是國旗上面主要的顏色，紀念堂頂部天穹的裝飾是青天白日12道光芒，銅像朝西面對總統府和中國大陸，其中都有特殊的意義。隨著民主演進思想開放，紀念堂前的廣場已成了民主運動的集會場。位於中正紀念堂左右兩側的國家音樂廳與國家戲劇院。戲劇院為戲劇、舞蹈等表演活動的場地，經常舉辦大型的表演活動，包括京劇、戲劇、兒童節目等；音樂廳是臺灣最具水準的音樂展演空間，經常舉辦室內樂，交響樂等大型的音樂活動。而兩廳院前廣場也會不定時舉辦戲劇、音樂活動，吸引眾多遊客前往欣賞。白牆藍瓦，70公尺高聳立在紀念公園的中央，不論從哪個角度看過去，都很宏偉。國外觀光客來到臺灣，不論行程如何排，都一定會到這裡來參觀一下。紀念堂的下方有陳列和展覽，也有紀念品販售。,(02)23431100,,臺北市,中正區,,379000000A,臺北市政府,2024/12/22 上午 05:02:04,238000
Attraction_376480000A_000480,Attraction,Zh_tw,虎山藝術館,"南投縣政府為重現中興新村風華，以虎山農場做為藝術基地，作為藝術家的創作平台，讓全國各地藝術家能匯集到中興新村揮灑創意，進而形成國際級的藝術創作天堂，以藝術來妝扮各景點，提昇藝文內涵，並透過此次展覽活動，讓國內外遊客能夠享受更美好的旅遊品質。 虎山藝術館對中興新村、南投市和草屯民眾來說，是一個健行休憩的好地方。它的地理位置剛好可以讓中興新村的美景都盡收眼底。

「虎山藝術館」其建築本體在一、二層樓各設有三間展覽室，每層樓的展場面積約為58坪，並且全年皆有安排藝術展覽活動。園區內不但有規劃大大小小的舞台供藝術表演外，也設有文學步道、雕塑區等等的附屬設施，是個不論男女老少都適合參訪的景點。",(049)2392176,,南投縣,南投市,環山路95巷26號,376480000A,南投縣政府觀光處,2023/6/30 下午 05:30:00,238000
Attraction_379000000A_002172,Attraction,Zh_tw,臺灣戲曲中心,臺灣戲曲中心 (Taiwan Traditional Theatre Center) 為國立傳統藝術中心位於臺北的展演場館，國光劇團、臺灣國樂團及臺灣音樂館進駐於此，為國內第一個擁有駐團的專業劇場，兼具藝文展演、藝術教育及文化休閒等用途。建築風格採用簡單寫意卻又蘊含無限可能的戲曲美學，將｢一桌二椅」的傳統元素顛倒翻轉，化為凝練經典的時尚新造型，積極探索戲曲與時俱進的當代新意。臺灣戲曲中心致力於活絡產業生態，以｢傳統表演藝術團隊的家」自許，作為表演團隊堅強的後盾，全面提供製作資源、高水準場域設施、前後臺專業服務。園區內設有大、小表演廳兩座專業劇場，3102多功能廳、國際會議廳、視聽室，以及戶外廣場、戲曲平臺等開放性空間，多元靈活的空間提供最合用的舞臺，使傳統表演藝術團隊無後顧之憂，為觀眾帶來極視聽之娛的精彩演出。(資料來源：臺灣戲曲中心官網),(02)88669600,,臺北市,士林區,,379000000A,臺北市政府,2024/9/4 下午 05:39:56,238000
Attraction_A15010500H_002782,Attraction,Zh_tw,國之北疆,站在台灣的最北處 很多人知道中華民國國境最南到南沙群島的曾母暗沙，但可能不知道國境最北，就在馬祖東引。 往清水澳管制哨西北方向順著道路前行，爬過山頭直走到底，就是中華民國的國之北疆，但其實真正的台灣最北端極點可是位在羅漢坪岬角外海中的小礁石喔！這座礁石又稱為「北固礁」，位於西引后澳上方約600公尺處，目前礁島上杳無人煙，會隨著潮水的漲退，時而隱没或出現。 為紀念國之北疆在此，以及讓遊客一睹風采，馬管處在后澳岬角建置觀景台，並立起一塊石牌，寫有「國之北疆」的字樣，提供遊客拍照留念，即便沒有看到北固礁，也還是可以證明自己來過「國境之北」。 ,(0836)77267,,連江縣,東引鄉,連江縣東引鄉,A15010500H,交通部觀光署馬祖國家風景區管理處,2023/9/16 上午 12:14:54,238000
Attraction_376470000A_000286,Attraction,Zh_tw,林先生廟,康熙48年（1709）至58年（1719），施世榜（1671-1743）以「施長齡」墾戶之名與鄉紳黃仕卿等，召集流民於彰化平原完成八堡圳主要圳道後。因濁水溪本留湍急，常沖出網狀支流，流心不定，加上行床寬淺，無法直接取水，甚至造成無水可灌之窘境。因此，如何在上游尋找一處坡度適宜的地點將溪水引入圳道，成為最大難題。後來經一傳奇人物「林先生」授以方法，始得克服困難。,(04)8792073,,彰化縣,二水鄉,彰化縣二水鄉員集路二段227號,376470000A,彰化縣政府城市暨觀光發展處,2018/11/8 下午 02:23:34,237000
Attraction_A15010700H_000106,Attraction,Zh_tw,林先生廟,位於二水鄉員集路旁(縣152道路)，林先生廟的起源是由於清康熙58年(西元1719年)墾戶施長齡為開鑿建設八堡圳於武東堡之鼻子頭附近，用盡各種工法都無法將濁水溪水引進圳道，後來巧遇林先生教授導水圖法，灌溉了整個彰化平原，造成彰化平原以後的富庶。 但林先生大功告成卻千金不受，從此不知去向，也未告知眾人其大名！後人感念其恩澤，在二水鼻子頭八堡圳頭附近興建林先生廟以追念其豐功偉績。,(04)8792073,,彰化縣,二水鄉,員集路二段227號,A15010700H,交通部觀光署參山國家風景區管理處,2024/10/17 上午 11:37:32,237000
Attraction_376530000A_000036,Attraction,Zh_tw,莎卡蘭口社村,緊鄰莎卡蘭溪的口社社區，是一個排灣族部落。口社舊名莎卡蘭(sagaran)，是從莎卡蘭溪上游的大社分出來，從前大社達瓦蘭部落有兩個獵人sapantje與salatiliman出外打獵，到了一個地方後（口社舊部落，名為高媽安kauma'an），隨行的獵狗不肯離開，獵人於是定居在那裡，一些大社的居民也遷移到此，獵人sapantje回去請大社頭目的四子sa'adiu到新聚落當頭目，於是新的部落形成，就叫做「莎卡蘭」。口社社區入口意象的石板涼亭牌樓上面，就是兩個獵人獵狗與頭目的雕像，至今村中有人結婚，仍會送檳榔與橘子編成的花環到兩個獵人的後代家，表示對部落英建立雄的尊敬。口社村的族名為莎卡蘭（sagaran），流經口社村的莎卡蘭溪是sagaran族人的生命之源，sagaran人經過3次遷村，始終與口社溪為伍，至今，莎卡蘭(sagaran)族人與莎卡蘭(sagaran)溪一直都有重要相互依存的關係。民國90年，因不肖份子毒魚事件，致使溪流魚群集體死亡，造成溪流生態很大的影響。村民對此行為感到深深痛惡，於是村長召集村民，發佈護溪計畫，莎卡蘭（sagaran）的護溪運動開始了。在近兩年的護溪期間，社區發動村莊義務勞動，讓村民參與護溪巡守，修築護溪步道，堆砌石頭的護坡、整理平台建高腳屋等，漸漸的，莎卡蘭溪恢復原有的生態環境。原住民自古以山林及溪流的資源生養族群，取之自然又保育自然，依生物生息的孕育週期建立取用的倫理，讓資源既被利用又永續不絕，排灣族豐富的文化特色，獨特的生活方式與習慣，結合莎卡蘭溪豐富的生態資源，我們可以打造莎卡蘭（sagaran）優質的生態旅遊事業。,(08)7956850,,屏東縣,三地門鄉,信義巷10號,376530000A,屏東縣政府,2024/10/15 上午 06:37:42,236000
Attraction_376530000A_000026,Attraction,Zh_tw,慈鳳宮,明朝永曆年間，有一位祭奉媽祖香火的出家人，從福建渡海來到阿猴（今屏東市），起初暫時將媽祖神像恭放官衙中虔拜，不過令人不解的是，只要每到半夜就會出現一道閃爍的紅光，剛開始眾人無法理解紅光的涵義，經過一段時間，終於悟出這是媽祖顯靈的現象，於是集議興建宮廟恭奉。這是慈鳳宮於1737年（清乾隆2年）起建的遠因，也是信徒間傳頌久遠的神蹟故事。 慈鳳宮創建二百多年來，曾經在民國72年發生一次最嚴重的火災，因為電線走火造成前後兩殿幾乎燒毀殆盡，但是令信眾感到安心及嘖嘖稱奇的是，廟內供奉的神尊卻毫髮無傷。在遭遇這次的祝融災情後，隨即展開歷時十五年的大規模重建工程，才成為慈鳳宮現今的風貌。 在懸掛「慈鳳宮」牌匾上方的屋頂，一眼就能看見裝飾的富麗堂皇的剪粘藝術，有栩栩如生的交趾陶人物及各色龍獸；正殿上方的藻井則由塗上金色的斗拱層層堆疊而成，不僅金碧輝煌，更顯得氣派非凡；而宮廟內百年以上歷史的古蹟文物也不少，像大殿裡雕紋細膩的石鼓及蟠龍石柱，懸掛殿堂的匾額及記載史事的石碑，都是清朝時代所頒留。 經過重建之後的慈鳳宮，除了展現亮麗的廟庭風貌，更運用創意的思維，舉辦許多文化活動，讓人得以重新認識傳統宗教的形貌，譬如阿猴媽祖文化季、會香神駕遶境、八家將官將首比賽等，除了宣揚宗教的價值，也凝焠出更深層的文化內涵。,(08)7322967,,屏東縣,屏東市,中山路39號,376530000A,屏東縣政府,2024/10/15 上午 06:37:40,236000
Attraction_376530000A_000106,Attraction,Zh_tw,南州糖廠,南州糖廠原名東港糖廠，是台灣最南端的糖廠，在早期糖業大興的年代，廠區內可見一處處的甘蔗田及長列列的五分車，自從糖業式微，南州糖廠逐漸無以為繼，在決定停產後，於民國92年轉型為觀光糖廠，慢慢地成為南台灣具知名度的休閒旅遊去處。 南州觀光糖廠的休閒設施很多，鯉魚池、親水區、花卉區、烤肉區、土窯區、露營地、小火車、歷史建築區等，每一處都有不同的遊玩樂趣。以花卉區來說，這裡種植一片片向日葵、波斯菊花田，紅的、黃的、粉的、紫的，各顏各色好不繽紛，穿遊花海間，伴著金色陽光與陣陣徐風，好浪漫也好詩意。 參觀廠區的建築群與生產設備是最能直接了解糖廠的歷史軌跡，從倉庫、鐵軌、卸蔗機表面的泛黃鐵銹，可以得見這些陳舊設備早已染上風霜，在翻新設施的廠區裡，更顯出它們功成身退的價值。而遊客也別擔心會因為廠區廣闊走得累喘吁吁，這裡特別規劃一條飄著咖啡香、伴著音樂聲的綠林大道，累了，就來這裡暫時小憩。 焢土窯是南州糖廠最具特色的設施，很適合沒有見識過古早烤肉法的都市人前來體驗，從掘洞、撿石頭、搭窯、燃燒木材到覆蓋泥土，在在考驗著遊客的耐心跟靈巧度；南州糖廠也非常貼心，不但提供烤肉食材預訂，免去自備的麻煩，要是土窯始終搭不起來，還能夠請搭窯師傅親臨指導，這麼難得的烤肉經驗，錯過多可惜呢！,(08)8644683,,屏東縣,南州鄉,永安路1號,376530000A,屏東縣政府,2024/10/15 上午 06:37:55,236000
Attraction_376440000A_000145,Attraction,Zh_tw,天德堂,,(03)5592862,,新竹縣,新豐鄉,德昌街236號,376440000A,新竹縣政府交通旅遊處,2025/4/28 上午 09:36:25,236000
Attraction_376430000A_001639,Attraction,Zh_tw,十一份觀光文化園區,前身為人聲鼎沸的佳安市場，而現在她將繼續延伸生命力，結合藝術、零塑、有機、自然生態等多元樣貌，為十一份這個地區注入新的活力。,(03)4111279,,桃園市,龍潭區,佳安西路5號,376430000A,桃園市政府觀光旅遊局,2024/6/19 下午 04:27:52,236000
Attraction_A15010400H_000183,Attraction,Zh_tw,東港魚市場,東港是南台灣重要漁港之一，港口是當地漁民活動最頻繁的地點，每天漁船出港時間並不一定，必須看漁船作業狀況，若要觀賞漁船入港，魚貨卸船的盛景，不妨洽詢當地漁民漁船入港時間，一起等候大船入港的興奮心情，當船隻回航後，魚撈現貨卸下後，就在魚市場排列開來，撒上碎冰，以確保魚貨的新鮮，叫賣聲此起彼落，整個魚市場好熱鬧，很多遊客來到此地，進入魚市場感受叫賣的樂趣，看到各式各樣的魚貨，忍不住都會豎起大拇指，讚美魚貨，「魚都好大尾，有夠新鮮」。這樣的盛景每日都在東港魚市場上映，建議您有機會親身造訪東港魚市場，感受到東港在地的漁村文化。東港光復路海產街： 位於東港鎮光復路3段附近，道路二旁的海產店林立，因處地利之便，新鮮漁貨取得容易、種類選擇多、價格便宜、新鮮好吃，有「東港海產街」的雅號，來到屏東一定要到東港嚐嚐當地獨具風味的海鮮佳餚。林邊海產街： 林邊海鮮主要來自東港、大鵬灣與沿海地區養殖魚塭，魚產豐富，又據地利、交通之便，造就林邊鄉中山路兩旁海產餐廳林立，因講求新鮮美味、價廉物美而名聞全台。,(08)8323121,,屏東縣,東港鎮, 新生三路175號 ,A15010400H,交通部觀光署大鵬灣國家風景區管理處,2025/5/12 下午 12:15:05,235000
Attraction_376470000A_000099,Attraction,Zh_tw,鹿港隘門,"隘門縣定古蹟
昔日鹿港的每個街道巷口都設有隘門，而今僅存一處，位於中山路後一條名叫後車巷的小巷中，此座僅存的隘門建於道光10年西元1830年，高約10尺，寬約8尺，上題有「門迎後車」四字，至今歷盡滄桑，曾於民國68年傾塌，現已修復。",(04)7772006,,彰化縣,鹿港鎮,彰化縣鹿港鎮後車巷,376470000A,彰化縣政府城市暨觀光發展處,2020/3/2 下午 03:28:08,235000
Attraction_382000000A_110972,Attraction,Zh_tw,鶯歌車站,從煤鄉走向陶瓷之都，鶯歌的交通樞紐,(02)26792004,,新北市,鶯歌區,文化路68號,382000000A,新北市政府觀光旅遊局,2022/9/15 上午 06:53:41,235000
Attraction_387000000A_000363,Attraction,Zh_tw,大坑6號步道,6號步道與7、8號步道終點，位於潭子區與北屯區交接處之風動石附近，可遠眺潭子豐原及整個北臺中地區。若由6號停車場攀登，途經觀音亭到達風動石，約需1小時40分鐘。,(04)22289111,58511.0,臺中市,北屯區,松竹路一段軍功公墓旁的小徑（350巷）,387000000A,臺中市政府觀光旅遊局,2024/8/12 下午 04:59:21,234000
Attraction_376490000A_000984,Attraction,Zh_tw,林內永安宮,"烏塗元帥爺
永安宮主祀謝府元帥與池府千歲，為林內烏塗村的信仰中心，相傳本宮創建於光緒年間，為竹造廟宇，民國34年居民前往松柏嶺受天宮迎請玄天上帝至此開設鸞堂濟世救民。",(05)5892057,,雲林縣,林內鄉,林內鄉烏麻村永安69之1號,376490000A,雲林縣政府,2023/7/14 下午 04:32:30,234000
Attraction_A15010700H_000092,Attraction,Zh_tw,百果山遊憩區,百果山遊憩區位於彰化縣員林市，是許多彰化人的共同回憶，而入口短詩「百果花香，山泉甘甜，蜜餞可口，風景綺麗」，短短十六字便將百果山的特色娓娓道出。為了營造百果山全新風貌，新增設百果山喔熊坡面遊戲場，設置全國第一座2.5米高的喔熊組長公仔，還有長達25公尺繽紛亮麗的管道式溜滑梯，同時添置攀爬網、彈跳床、跳樁、攀岩、遊戲土丘等多元遊憩設施，陪伴大人、小孩重塑幸福回憶的同時也能為新生代留下美好回憶。百果山的獨特人文風情一走進百果山遊憩區，顯眼的紅色鳥居立刻吸引了目光，日據時代坐落於此的員林神社，是當時員林地區的信仰中心。如今神社正殿雖已改建成忠烈祠，但沿著古老鳥居拾階而上，懷古氣息依舊不減。再往上走便來到廣天宮，廟宇莊嚴氣派，站在廟埕還能將整個員林市區盡收眼底！百果山起登，感受八卦山脈的生態之美來到...,(04)8347171,,彰化縣,員林市,出水里,A15010700H,交通部觀光署參山國家風景區管理處,2024/12/5 下午 03:43:54,234000
Attraction_379000000A_001412,Attraction,Zh_tw,松山文創園區,松山文創園區位於臺北市信義區，是一座著名的文化地標。其前身為1937年建成的臺灣總督府專賣局松山菸草工場，是臺灣首座專業捲菸廠，見證了臺灣現代化工業的起步與發展。園區內的建築風格以「日本初現代主義」為主，設計簡約卻不失精緻。面磚、琉璃與銅釘等高品質建材的運用，展現出當時高水準的建築工藝。儘管工廠於1998年停產，但在2001年被指定為市定古蹟後，這片歷史場域得以被妥善保存並轉型為當代文創集合園地。如今的松山文創園區已成為藝文展演與設計交流的核心地帶。園區內經常舉辦國內外展覽、手作工作坊、市集等多元活動，涵蓋藝術、設計、文創等領域。無論是欣賞國際知名的藝術展覽，還是發掘本地創作者的作品，都能在這裡找到靈感與樂趣。除了歷史與藝術，園區內的自然景觀也令人流連。巴洛克花園的幾何美感與生態景觀池的綠意盎然，為繁雜的信義區提供了一處鬧中取靜的休憩空間，是都市中難得的放鬆好去處。松山文創園區以文化再造的方式，讓歷史場域煥發新生命，成為臺北最具代表性的文創景點之一。不論是歷史迷、設計愛好者，還是單純想找個地方放鬆心靈的人，這裡都值得一再造訪！,(02)27651388,,臺北市,信義區,,379000000A,臺北市政府,2024/11/29 下午 01:48:48,234000
Attraction_387000000A_000039,Attraction,Zh_tw,逢甲夜市_逢甲商圈,逢甲文華夜市位於逢甲大學側門，從文華路一直延伸到福星路，消費族群以二、三十歲的年輕人為主。因其有著位於學區和接近市區的地緣關係，逐漸成為臺中市夜市集團的龍頭。逢甲文華夜市與其它臺中市夜市最大不同之處，在於其不單是以飲食著稱，也包含了各式各樣的商店，營業時間亦較長。近年來，市政府重新規劃商圈風貌，整修路面，街道造景，並規劃停車空間，努力解決停車的問題。現今逢甲文華夜市嶄新面貌更吸引了不少消費族群，商圈更有逐漸擴大的現象，並成為民眾心目中票選「臺中市十大觀光景點」之一。,(04)22289111,,臺中市,西屯區,文華路,387000000A,臺中市政府觀光旅遊局,2025/5/6 下午 02:06:00,233000
Attraction_387000000A_000362,Attraction,Zh_tw,大坑5號及5-1號步道,呈南北縱向的5號步道，沿著稜線行經二嵙山及頭嵙山，串聯起1至4號步道。海拔介於595至859公尺之間，沿山稜而行，可經歷多處視野良好的展望點。步道中有許多涼亭與展望台供民眾休憩，可俯瞰臺中繁榮的市區與大肚山脈遙遙相望。常可見民眾攜帶泡茶器具，在一望無際的雲海間，品茗談心，好不快活！5號步道另一個支線（5-1路線），起於新社區協中街斜頭巷，終於5號步道黑松亭前，沿途行經二嵙山的城中亭與臺中市建府90週年紀念碑。此步道是研習生態入門的最佳去處，沿途已設立多處植物解說牌，適合親子一同健行。,(04)22289111,58511.0,臺中市,北屯區,大坑五號登山步道,387000000A,臺中市政府觀光旅遊局,2025/5/7 下午 05:51:14,233000
Attraction_395000000A_000623,Attraction,Zh_tw,南化水庫,南化水庫位在南化區玉山里的東方，由北寮沿南橫公路往甲仙方向。主要供應大台南和大高雄地區的公共給水兼具觀光旅遊,(06)5772896,,臺南市,南化區,玉山里139號,395000000A,臺南市政府,2024/1/9 下午 04:06:59,233000
Attraction_345040000G_100031,Attraction,Zh_tw,羅東林業文化園區,"日據時代有三大官營林場：阿里山、八仙山以及太平山林場，其中太平山林場是比較晚開發的。羅東林業文化園區即為日治時期羅東出張所及貯木池舊址。

自1982年太平山伐木終止至今大都維持原貌，林業保育署宜蘭分署於 2004年規劃此地為林業文化園區，經重新修整，融合林業歷史、生態永續之規劃設計，除恢復昔日林業文化風采外，更能彰顯太平山林業及羅東鎮發展的歷史地位。本園區於2012年以羅東林場舊稱，正式依文化資產保存法登錄為文化景觀。",(03)9544247,,宜蘭縣,羅東鎮,中正北路118號,345040000G,林業保育署,2025/5/12 下午 12:20:02,233000
Attraction_376420000A_000426,Attraction,Zh_tw,羅東林業文化園區,在日治時期台灣有三大林場，分別是：八仙山林場、阿里山林場以及太平山林場。從太平山林場所砍伐的檜木、扁柏等木材，都會運送到羅東出張所和貯木池進行存放，而羅東出張所經過規劃後，成為現今的羅東林業文化園區。羅東林業文化區坐落於羅東市區附近，交通十分方便，園內規劃有貯木池、森林鐵路、竹林車站、蒸汽火車頭、綠林和步道等，從這些設備、建築物中發現當年的林業發展多麼蓬勃，又是多麼地熱鬧，同時也讓人不禁感慨，許多珍貴的檜木消逝在太平山中。隨著林業發展的轉型，可以看見昔日風華的貯木池，零散放著當時砍伐的檜木，如今，貯木池不再具有貯木的功能，而是成為水鳥和魚兒們的天堂。在園區中散步，彷彿進入一座秘密花園，園內種植滿滿茂密的樹木，不時聽見鳥兒的叫聲，空氣中帶有芬多精與淡淡的檜木香，舒服的環境，令人不禁停下腳步，感受內心的寧靜。,(03)9545114,,宜蘭縣,羅東鎮,中正北路118號,376420000A,宜蘭縣政府工商旅遊處,2023/6/28 下午 12:10:54,233000
Attraction_379000000A_000642,Attraction,Zh_tw,大湖公園,大湖公園湖泊因白鷺成群又名白鷺湖，毗鄰白鷺山，遙指五指山、忠勇山等，佔地約13公頃餘。民國68年仿中國園林興建，大湖湖泊面積約10公頃餘，屬區域性公園。公園內有各式植物，落羽松、阿勃勒、台灣欒樹、杜鵑花等會按時序開花，為園區各空間抹上不同色彩。湖邊則時常會看到白鷺鷥、夜鷺、鴨子等，甚至有季節性鳥類，蒼鷺、大白鷺等，豐富的生態吸引許多遊客帶著一家大小來到公園享受大自然。另園區內有多樣古色古香的設施，像是錦帶橋、九曲橋、水榭歌臺。錦帶橋曾被票選為全球最美仙景美之橋之一，其拱橋造型與湖面倒影吸引眾多攝影專家前來拍攝，只為拍出像水墨畫般的景色；九曲橋因橋面九曲十三彎，曲折迂迴，便取名為九曲橋，特殊造型也是許多遊客前往公園的原因之一；水榭歌臺為雙層涼亭，可以從亭上拍到捷運文湖線列車，也能眺望整個公園的景色。來到大湖公園，除遠離塵囂、遊園賞景、漫湖岸垂柳步道欣賞湖光山、徜徉落羽松林吸收大自然精華及享受青草香外，同時可進行垂釣、野餐、游泳等各項活動，若再結合附近山區的健行活動，大湖公園將是進行半日或一日遊的最佳休憩景點。,(02)23815132,,臺北市,內湖區,,379000000A,臺北市政府,2023/2/17 下午 03:29:50,232000
Attraction_376440000A_000372,Attraction,Zh_tw,竹東中央市場,,(03)5966177,,新竹縣,竹東鎮,東林路88號,376440000A,新竹縣政府交通旅遊處,2025/3/25 上午 08:34:45,232000
Attraction_376430000A_001658,Attraction,Zh_tw,桃園北區客家會館,多元文化交流的場域，連結當地客家歷史文化脈絡，喚回客家族群文化認同感。,(03)3683691,,桃園市,八德區,崁頂路60號,376430000A,桃園市政府觀光旅遊局,2024/7/5 上午 08:50:05,232000
Attraction_376450000A_000366,Attraction,Zh_tw,大化宮,三山國王者為潮州明貺獨山、明山、中山三山之神，肇跡於隋，顯靈於唐，受封於宋，潮之諸邑，在在有廟，莫不祇祀，水旱疾疫，有禱必應。自乾隆30年，先賢徐公德來由鎮平原鄉佩爐香過台，而赫聲濯靈遂顯於斗煥坪鄰近各莊。草創伊始，搭建茅屋，廟貌樸素；內祀三山國王、觀音娘、聖母娘諸神位，名為三山國王廟大化宮，民國63年信徒大會決議名為大化宮。百餘年來，其靈護莊民等，極一時繁盛，故莊中人才輩出，洵地靈而人傑矣。 現址宮廟於民國84年竣工，耗資捌仟餘萬元，一樓主祀三山國王，配祀註生娘娘、孔夫聖人、文昌帝君、倉頡聖人；二樓祀觀音佛祖、天上聖母、九天玄女。民國89年12月2日，舉行慶成圓滿五朝福醮，盛況空前。,(037)663038,,苗栗縣,頭份市,斗煥里108-1號,376450000A,苗栗縣政府國際文化觀光局,2025/5/12 下午 12:00:05,231000
Attraction_379000000A_000100,Attraction,Zh_tw,國立臺灣科學教育館,"臺灣科學教育館，為科學教育而設，適合所有大人小孩來參觀。地下室為兒童益智探索館，還有一個地底世界展，3, 4樓有生命科學、自然科學展，5, 6樓有物質科學、數學與地球科學展，7, 8樓為特展，可以看到世界性的科學展覽。館內設有各種體驗裝置，可與展品互動。在這也可看電影，3D動感電影院是一個動感模擬影院，雙人式液壓動感座椅，與影像同步動作，有如坐在雲宵飛車或飛行座艙上，身歷其境。立體虛擬實境劇場，採用高解析立體影像效果，讓觀看影片更有臨場感。這是個寓教於樂的優良場所，歡迎大家來玩。",(02)66101234,,臺北市,士林區,,379000000A,臺北市政府,2024/11/4 下午 05:33:06,231000
Attraction_376580000A_000015,Attraction,Zh_tw,關新公園,新竹市政府近年推動「進擊的公園」，109年2月關新公園整建完工啟用，打造一個讓孩子開心跑跳、爸媽安心陪伴，且各年齡層都能使用的公園。整建工程將既有山丘結合兒童遊具，打造地景式共融遊憩區，除了中間供兒童追趕跑跳的主題廣場外，南側2至5歲兒童共融活動區設有小型草坡溜滑梯，北側適合5至12歲的樂遊山丘區則設有寬敞的磨石子溜滑梯。此外，還有攀爬遊戲台和塗鴉遊戲牆，提供大小朋友一同玩樂、遊戲、發展體能的共融遊戲場域。另配合既有林蔭位置，打造休憩涼亭與座椅，透過建立多功能使用公共開放空間，重新凝聚鄰里的向心力。,(03)5216121,,新竹市,東區,關新路57號,376580000A,新竹市政府,2023/4/28 下午 04:00:00,231000
Attraction_397000000A_000052,Attraction,Zh_tw,甲仙大橋,位於台20線南横公路的甲仙大橋横跨楠梓仙溪，是進入甲仙區的入口。橋頭有甲仙區的著名物產—芋頭的雕塑，橋身也以淺紫色迎接遊客。,(07)7995678,,高雄市,甲仙區,文化路上,397000000A,高雄市政府觀光局,2024/2/5 上午 11:02:26,231000
Attraction_397000000A_001487,Attraction,Zh_tw,永新灣,石斑魚故鄉標誌的大型石墻與矮磚牆，大型字樣OCEAN、漁夫造型等裝置藝術，休憩亭可以吹著徐徐的海風，輕鬆愜意的眺望海景。,(07)6912716,,高雄市,永安區,新港里石斑路,397000000A,高雄市政府觀光局,2022/11/28 下午 05:48:12,231000
Attraction_395000000A_004300,Attraction,Zh_tw,新市永安宮,新市永安宮主祀天上聖母-媽祖，又稱為「木柵媽祖」。指的是台江內海淤積前的「木柵港」，為水路旁的廟宇，香火鼎盛。後因水患、瘟疫，民眾改遷至地勢較高的地方，逐漸形成市集，也就是今天「新市」地名的由來。,(06)5995091,,臺南市,新市區,仁愛街331號,395000000A,臺南市政府,2024/1/9 下午 04:06:59,231000
Attraction_387000000A_001501,Attraction,Zh_tw,中央書局,創立於1927年，曾是全臺最大的漢語書局，是當時的文化藝術重鎮，也是許多老臺中人的回憶。在熄燈多年後於2020年重新開幕。,(04)22259024,,臺中市,中區,台灣大道一段235號,387000000A,臺中市政府觀光旅遊局,2025/5/8 下午 08:08:34,230000
Attraction_397000000A_001591,Attraction,Zh_tw,鳳山車站,鳳山車站為高雄首座結合停車場的火車站，全新打造的「空中鳳城」以鳳山古城為設計靈感，未來將融合交通、商業與文化，成為南高雄新地標。,(07)7460423,,高雄市,鳳山區,曹公路137號,397000000A,高雄市政府觀光局,2025/2/26 下午 01:59:42,230000
Attraction_376580000A_000017,Attraction,Zh_tw,南寮運動公園,南寮運動公園位於南寮漁港附近，面積約6.8萬平方公尺，包含有標準足球場與練習場各一座，還有槌球場、共融式遊具的兒童遊戲區，橋下設置兩座籃球場，加上環園區的自行車道，及一座具設計感的景觀路橋，是屬於全年齡層的運動公園。改造過程中考量南寮風大、靠海的特性，還特別規劃草丘坡地及生態草溝設計，減少風害及沙塵的影響。,(03)5216121,,新竹市,北區,東大路四段,376580000A,新竹市政府,2023/4/28 下午 04:00:00,230000
Attraction_387000000A_000951,Attraction,Zh_tw,霧峰樹仁商圈,1990年間這裡是霧峰知名夜市，之後變身商圈繼續邁進。在臺中市霧峰區農會旁的樹仁路，原本是封街型的霧峰樹仁夜市，封街範圍從四德路口到育成路口，是當時南臺中主要夜市之一。2001年，台灣經濟部商業司委託顧問團隊對樹仁路的商圈再造，將本來的樹仁路夜市轉變成樹仁路商圈。在2010年底臺中市市合併前，是臺中市三大美食商圈之一，現在亦是南臺中知名美食商圈之一。,(04)22289111,,臺中市,霧峰區,樹仁路,387000000A,臺中市政府觀光旅遊局,2024/1/17 下午 02:42:21,229000
